YYYYMM,Hydro,Coal,Gas,Diesel,Nuclear,RES,Total
197307.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197308.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197309.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197310.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197311.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197312.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197401.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197402.0,5907.0,6640.0,134.0,276.0,0.0,0.0,12957.0
197403.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197404.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197405.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197406.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197407.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197408.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197409.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197410.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197411.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197412.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197501.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197502.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197503.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197504.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197505.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197506.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197507.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197508.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197509.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197510.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197511.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197512.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197601.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197602.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197603.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197604.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197605.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197606.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197607.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197608.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197609.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197610.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197611.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197612.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197701.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197702.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197703.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197704.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197705.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197706.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197707.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197708.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197709.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197710.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197711.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197712.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197801.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197802.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197803.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197804.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197805.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197806.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197807.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197808.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197809.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197810.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197811.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197812.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197901.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197902.0,6966.0,8652.0,165.0,241.0,640.0,0.0,16664.0
197903.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197904.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197905.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197906.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197907.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197908.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197909.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197910.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197911.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
197912.0,10833.0,14875.0,168.0,164.0,640.0,0.0,26680.0
